Name,SMILES,CAS Number,Type,MolWt,ExactMolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,MolVolume
Benzyl alcohol,C1=CC=C(C=C1)CO,100-51-6,biofuel,108.14,108.0575149,1.1789,1,1,1,20.23,32.3648
O-Cresol,CC1=CC=CC=C1O,95-48-7,biofuel,108.14,108.0575149,1.70062,1,1,0,20.23,32.8438
M-Cresol,CC1=CC(=CC=C1)O,108-39-4,biofuel,108.14,108.0575149,1.70062,1,1,0,20.23,32.8438
P-Cresol,CC1=CC=C(C=C1)O,106-44-5,biofuel,108.14,108.0575149,1.70062,1,1,0,20.23,32.8438
Benzaldehyde,C1=CC=C(C=C1)C=O,100-52-7,biofuel,106.124,106.0418648,1.4991,0,1,1,17.07,31.8295
Phenetole,CCOC1=CC=CC=C1,103-73-1,biofuel,122.167,122.0731649,2.0853,0,1,2,9.23,37.611
4-Methylanisole,CC1=CC=C(C=C1)OC,104-93-8,biofuel,122.167,122.0731649,2.00362,0,1,1,9.23,37.731
1-Phenylethanol,CC(C1=CC=CC=C1)O,98-85-1,biofuel,122.167,122.0731649,1.7399,1,1,1,20.23,37.0758
2-Phenylethanol ,C1=CC=C(C=C1)CCO,08/12/1960,biofuel,122.167,122.0731649,1.2214,1,1,2,20.23,37.2318
"2,4-Xylenol",CC1=CC(=C(C=C1)O)C,105-67-9,biofuel,122.167,122.0731649,2.00904,1,1,0,20.23,37.5808
Cinnamaldehyde,C1=CC=C(C=C1)C=CC=O,104-55-2,biofuel,132.162,132.0575149,1.8987,0,1,2,17.07,41.54
4-Propylanisole,CCCC1=CC=C(C=C1)OC,104-45-0,biofuel,150.221,150.1044651,2.6477,0,1,3,9.23,46.989
Guaiacol,COC1=CC=CC=C1O,01/05/1990,biofuel,124.139,124.0524295,1.4008,1,2,1,29.46,34.6588
4-Methylguaiacol,CC1=CC(=C(C=C1)O)OC,93-51-6,biofuel,138.166,138.0680796,1.70922,1,2,1,29.46,39.3958
4-Ethylguaiacol,CCC1=CC(=C(C=C1)O)OC,2785-89-9,biofuel,152.193,152.0837296,1.9632,1,2,2,29.46,44.0368
Pentane,CCCCC,109-66-0,biofuel,72.151,72.09390038,2.1965,0,0,2,0,25.199
Methylamine,CN,74-89-5,biofuel,31.058,31.04219916,-0.4251,1,1,0,26.02,10.1114
Ethylamine,CCN,07/04/1975,biofuel,45.085,45.05784922,-0.035,1,1,0,26.02,14.7284
2-Methylheptane,CCCCCC(C)C,592-27-8,biofuel,114.232,114.1408506,3.2227,0,0,4,0,38.98
3-Methylheptane,CCCCC(C)CC,589-81-1,biofuel,114.232,114.1408506,3.2227,0,0,4,0,38.98
4-Methylheptane,CCCC(C)CCC,589-53-7,biofuel,114.232,114.1408506,3.2227,0,0,4,0,38.98
3-Methyltetrahydrofuran,CC1CCOC1,13423-15-9,not biofuel,86.134,86.07316494,1.0428,0,1,0,9.23,24.6
"5-Methyl-2,3-dihydrofuran",CC1=CCCO1,1487-15-6,not biofuel,84.118,84.05751488,1.3105,0,1,0,9.23,24.326
2-Methyloxane,CC1CCCCO1,10141-72-7,not biofuel,100.161,100.088815,1.5754,0,1,0,9.23,29.265
3-Methyloxane,CC1CCCOC1,26093-63-0,not biofuel,100.161,100.088815,1.4329,0,1,0,9.23,29.217
4-Methyloxane,CC1CCOCC1,4717-96-8,not biofuel,100.161,100.088815,1.4329,0,1,0,9.23,29.217
2-Ethyloxane,CCC1CCCCO1,3857-14-5,not biofuel,114.188,114.1044651,1.9655,0,1,1,9.23,33.882
3-Ethyloxane,CCC1CCCOC1,31468-34-5,not biofuel,114.188,114.1044651,1.823,0,1,1,9.23,33.834
4-Ethyloxane,CCC1CCOCC1,,not biofuel,114.188,114.1044651,1.823,0,1,1,9.23,33.834
"2,6-Dimethyloxane",CC1CCCC(C)O1,73237-48-6,not biofuel,114.188,114.1044651,1.9639,0,1,0,9.23,33.86
