Name,SMILES,CAS,Type,MolWt,ExactMolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,MolVolume
"2,6-Dimethyloxane",CC1CCCC(C)O1,73237-48-6,not biofuel,114.18799999999999,114.104465068,1.9639,0.0,1.0,0.0,9.23,33.859999999999985
"2,3,5-Trimethyltetrahydrofuran",CC1CC(C)C(C)O1,2060048-64-6,not biofuel,114.18799999999999,114.104465068,1.8197999999999999,0.0,1.0,0.0,9.23,33.789999999999985
2-Propyltetrahydrofuran,CCCC1CCCO1,3208-22-8,not biofuel,114.188,114.104465068,1.9655,0.0,1.0,2.0,9.23,33.88199999999999
2-Propyloxane,CCCC1CCCCO1,3857-17-8,not biofuel,128.215,128.120115132,2.355600000000001,0.0,1.0,2.0,9.23,38.499
"2,3,4,5-Tetramethyltetrahydrofuran",CC1OC(C)C(C)C1C,,not biofuel,128.21499999999997,128.120115132,2.0658,0.0,1.0,0.0,9.23,38.336999999999996
2-Isobutyltetrahydrofuran,CC(C)CC1CCCO1,651057-21-5,not biofuel,128.215,128.120115132,2.2115,0.0,1.0,2.0,9.23,38.429
"2,5-Dimethoxytetrahydrofuran",COC1CCC(OC)O1,696-59-3,not biofuel,132.159,132.078644244,0.7418,0.0,3.0,2.0,27.69,31.912999999999982
"2,5-Dimethoxy-2,5-dihydrofuran",COC1OC(OC)C=C1,332-77-4,not biofuel,130.143,130.06299418,0.5178,0.0,3.0,2.0,27.69,31.81899999999998
"2,3-Dimethyltetrahydrofuran",CC1CCOC1C,16251-73-3,not biofuel,100.16099999999999,100.088815004,1.4313,0.0,1.0,0.0,9.23,29.194999999999986
"2,5-Dimethyltetrahydrofuran",CC1CCC(C)O1,1003-38-9,not biofuel,100.16099999999999,100.088815004,1.5737999999999999,0.0,1.0,0.0,9.23,29.242999999999984
"2,4-Dimethyltetrahydrofuran",CC1COC(C)C1,64265-26-5,not biofuel,100.16099999999999,100.088815004,1.4313,0.0,1.0,0.0,9.23,29.194999999999986
2-Ethyltetrahydrofuran,CCC1CCCO1,1003-30-1,not biofuel,100.161,100.088815004,1.5754000000000001,0.0,1.0,1.0,9.23,29.264999999999983
2-Ethyloxane,CCC1CCCCO1,3857-14-5,not biofuel,114.188,114.104465068,1.9655,0.0,1.0,1.0,9.23,33.88199999999999
