Name,SMILES,Type,CAS,MeltingPoint,BoilingPoint,LHV,FlashPoint,Density,OC,MolWt,LFL,UFL
"2,4-Dimethyl-3-ethylpentane",CCC(C)C(C)C(C)C,biofuel,CCC(C)C(C)C(C)C,128.25899999999996,128.15650064,128.25899999999996,128.25899999999996,128.25899999999996,128.25899999999996,128.25899999999996,128.25899999999996,128.25899999999996
"1,1-Dimethylcyclohexane",CC1(C)CCCCC1,biofuel,CC1(C)CCCCC1,112.21600000000001,112.12520051199999,112.21600000000001,112.21600000000001,112.21600000000001,112.21600000000001,112.21600000000001,112.21600000000001,112.21600000000001
"1,1-Dimethylcyclopentane",CC1(C)CCCCC1,biofuel,CC1(C)CCCCC1,112.21600000000001,112.12520051199999,112.21600000000001,112.21600000000001,112.21600000000001,112.21600000000001,112.21600000000001,112.21600000000001,112.21600000000001
Cyclopentane,CC1CCC(C)C1,biofuel,CC1CCC(C)C1,98.189,98.109550448,98.189,98.189,98.189,98.189,98.189,98.189,98.189
"1,3-Dimethylcyclopentane",CC1CCC(C)C1,biofuel,CC1CCC(C)C1,98.189,98.109550448,98.189,98.189,98.189,98.189,98.189,98.189,98.189
2-Methylpiperidine,CC1CCCCN1,biofuel,CC1CCCCN1,99.177,99.10479941599999,99.177,99.177,99.177,99.177,99.177,99.177,99.177
2-Methylpyridine,Cc1ccccn1,biofuel,Cc1ccccn1,93.129,93.057849224,93.129,93.129,93.129,93.129,93.129,93.129,93.129
3-Methylpyridine,Cc1cccnc1,biofuel,Cc1cccnc1,93.129,93.057849224,93.129,93.129,93.129,93.129,93.129,93.129,93.129
4-Methylpyridine,Cc1ccncc1,biofuel,Cc1ccncc1,93.12899999999999,93.057849224,93.12899999999999,93.12899999999999,93.12899999999999,93.12899999999999,93.12899999999999,93.12899999999999,93.12899999999999
Aniline,Nc1ccccc1,biofuel,Nc1ccccc1,93.12899999999999,93.057849224,93.12899999999999,93.12899999999999,93.12899999999999,93.12899999999999,93.12899999999999,93.12899999999999,93.12899999999999
N-methylaniline,CNc1ccccc1,biofuel,CNc1ccccc1,107.15599999999998,107.073499288,107.15599999999998,107.15599999999998,107.15599999999998,107.15599999999998,107.15599999999998,107.15599999999998,107.15599999999998
Indole,c1ccc2[nH]ccc2c1,biofuel,c1ccc2[nH]ccc2c1,117.15099999999997,117.057849224,117.15099999999997,117.15099999999997,117.15099999999997,117.15099999999997,117.15099999999997,117.15099999999997,117.15099999999997
Quinoline,c1ccc2ncccc2c1,biofuel,c1ccc2ncccc2c1,129.16199999999998,129.057849224,129.16199999999998,129.16199999999998,129.16199999999998,129.16199999999998,129.16199999999998,129.16199999999998,129.16199999999998
Dibenzopyrrole,c1ccc2c(c1)[nH]c1ccccc12,biofuel,c1ccc2c(c1)[nH]c1ccccc12,167.21099999999998,167.073499288,167.21099999999998,167.21099999999998,167.21099999999998,167.21099999999998,167.21099999999998,167.21099999999998,167.21099999999998
Phenol,Oc1ccccc1,biofuel,Oc1ccccc1,94.11299999999999,94.041864812,94.11299999999999,94.11299999999999,94.11299999999999,94.11299999999999,94.11299999999999,94.11299999999999,94.11299999999999
Anisole,COc1ccccc1,biofuel,COc1ccccc1,108.13999999999997,108.057514876,108.13999999999997,108.13999999999997,108.13999999999997,108.13999999999997,108.13999999999997,108.13999999999997,108.13999999999997
Benzyl alcohol,OCc1ccccc1,biofuel,OCc1ccccc1,108.13999999999997,108.057514876,108.13999999999997,108.13999999999997,108.13999999999997,108.13999999999997,108.13999999999997,108.13999999999997,108.13999999999997
O-Cresol,Cc1ccccc1O,biofuel,Cc1ccccc1O,108.13999999999999,108.057514876,108.13999999999999,108.13999999999999,108.13999999999999,108.13999999999999,108.13999999999999,108.13999999999999,108.13999999999999
M-Cresol,Cc1cccc(O)c1,biofuel,Cc1cccc(O)c1,108.13999999999999,108.057514876,108.13999999999999,108.13999999999999,108.13999999999999,108.13999999999999,108.13999999999999,108.13999999999999,108.13999999999999
P-Cresol,Cc1ccc(O)cc1,biofuel,Cc1ccc(O)cc1,108.13999999999999,108.057514876,108.13999999999999,108.13999999999999,108.13999999999999,108.13999999999999,108.13999999999999,108.13999999999999,108.13999999999999
Benzaldehyde,O=Cc1ccccc1,biofuel,O=Cc1ccccc1,106.12399999999997,106.041864812,106.12399999999997,106.12399999999997,106.12399999999997,106.12399999999997,106.12399999999997,106.12399999999997,106.12399999999997
Phenetole,CCOc1ccccc1,biofuel,CCOc1ccccc1,122.16699999999996,122.07316494,122.16699999999996,122.16699999999996,122.16699999999996,122.16699999999996,122.16699999999996,122.16699999999996,122.16699999999996
4-Methylanisole,COc1ccc(C)cc1,biofuel,COc1ccc(C)cc1,122.16699999999997,122.07316494,122.16699999999997,122.16699999999997,122.16699999999997,122.16699999999997,122.16699999999997,122.16699999999997,122.16699999999997
