Name,SMILES,CAS,Type
trans-1-Propenylbenzene,CC=CC1=CC=CC=C1,873-66-5,not biofuel
2-Phenylpropene,CC(=C)C1=CC=CC=C1,98-83-9,not biofuel
sec-Butylbenzene,CCC(C)C1=CC=CC=C1,135-98-8,not biofuel
"1,4-Cyclohexadiene",C1C=CCC=C1,628-41-1,not biofuel
"2-Methyl-1,5-Hexadiene",CC(=C)CCC=C,4049-81-4,not biofuel
"2-Methyl-2,4-Hexadiene",CC=CC=C(C)C,28823-41-8,not biofuel
"1-Methyl-1,4-cyclohexadiene",CC1=CCC=CC1,4313-57-9,not biofuel
"2,5-Dimethyl-1,5-hexadiene",CC(=C)CCC(=C)C,627-58-7,not biofuel
"2,5-Dimethyl-2,4-hexadiene",CC(=CC=C(C)C)C,764-13-6,not biofuel
"2,6-Octadiene",CC=CCCC=CC,4974-27-0,not biofuel
"2,6-Dimethyl-1,5-Heptadiene",CC(=CCCC(=C)C)C,6709-39-3,not biofuel
Dicyclopentadiene,C1C=CC2C1C3CC2C=C3,77-73-6,not biofuel
"4-Ethynyl-4-vinyl-1,6-heptadiene",C=CCC(CC=C)(C=C)C#C,19781-40-9,not biofuel
1-Ethylcyclopentene,CCC1=CCCC1,2146-38-5,not biofuel
3-Ethylcyclopentene,CCC1CCC=C1,694-35-9,not biofuel
Cycloheptene,C1CCC=CCC1,628-92-2,not biofuel
"1,5,5-Trimethylcyclopentene",CC1=CCCC1(C)C,62184-83-2,not biofuel
1-Propylcyclopentene,CCCC1=CCCC1,3074-61-1,not biofuel
1-Ethylcyclohexene,CCC1=CCCCC1,1453-24-3,not biofuel
1-Methylcycloheptene,CC1=CCCCCC1,1453-25-4,not biofuel
Propadiene,C=C=C,463-49-0,not biofuel
"1,2-Butadiene",CC=C=C,590-19-2,not biofuel
"3-Methyl-1,2-butadiene",CC(=C=C)C,598-25-4,not biofuel
"1,2-Pentadiene",CCC=C=C,591-95-7,not biofuel
"1,4-Pentadiene",C=CCC=C,591-93-5,not biofuel
"2,3-Pentadiene",CC=C=CC,591-96-8,not biofuel
3-Ethyl-4-methyl-2-pentene,CCC(=CC)C(C)C,19780-68-8,not biofuel
"2,3,4-Trimethyl-2-pentene",CC(C)C(C)=C(C)C,565-77-5,not biofuel
"3,4,4-Trimethyl-2-pentene",CC=C(C)C(C)(C)C,598-96-9,not biofuel
"2-Ethyl-3,3-dimethyl-1-butene",CCC(=C)C(C)(C)C,18231-53-3,not biofuel
Cyclopropene,C1C=C1,2781-85-3,not biofuel
Cyclobutene,C1CC=C1,822-35-5,not biofuel
3-Ethyl-2-methyl-1-pentene,CCC(CC)C(C)=C,19780-66-6,not biofuel
3-Ethyl-4-methyl-1-pentene,CCC(C=C)C(C)C,61847-80-1,not biofuel
"2,3,3-Trimethyl-1-pentene",CCC(C)(C)C(C)=C,560-23-6,not biofuel
"2,3,4-trimethyl-1-pentene",CC(C)C(C)C(C)=C,565-76-4,not biofuel
"2,4,4-Trimethyl-1-pentene",CC(=C)CC(C)(C)C,107-39-1,not biofuel
"3,3,4-trimethyl-1-pentene",CC(C)C(C)(C)C=C,560-22-5,not biofuel
"3,4,4-trimethyl-1-pentene",CC(C=C)C(C)(C)C,564-03-4,not biofuel
"2,4,4-Trimethyl-2-pentene",CC(C)=CC(C)(C)C,107-40-4,not biofuel
1-Hexene,CCCCC=C,592-41-6,biofuel
2-Hexene,CCCC=CC,592-43-8,not biofuel
3-Hexene,CCC=CCC,592-47-2,not biofuel
1-Heptene,CCCCCC=C,592-76-7,biofuel
2-Heptene,CCCCC=CC,592-77-8,biofuel
3-Heptene,CCCC=CCC,592-78-9,not biofuel
3-Ethylhexane,CCCC(CC)CC,619-99-8,not biofuel
2-Methyloctane,CCCCCCC(C)C,3221-61-2,biofuel
3-Methyloctane,CCCCCC(C)CC,2216-33-3,not biofuel
4-Methyloctane,CCCCC(C)CCC,2216-34-4,biofuel
"2,2-Dimethylheptane",CCCCCC(C)(C)C,1071-26-7,not biofuel
"2,3-Dimethylheptane",CCCCC(C)C(C)C,3074-71-3,not biofuel
"2,5-Dimethylheptane",CCC(C)CCC(C)C,2216-30-0,not biofuel
"2,6-Dimethylheptane",CC(C)CCCC(C)C,1072-05-5,not biofuel
"3,3-Dimethylheptane",CCCCC(C)(C)CC,4032-86-4,not biofuel
"3,4-Dimethylheptane",CCCC(C)C(C)CC,922-28-1,not biofuel
"3,5-Dimethylheptane",CCC(C)CC(C)CC,926-82-9,not biofuel
n-Propylcyclohexane,CCCC1CCCCC1,1678-92-8,not biofuel
n-Propylcyclopentane,CCCC1CCCC1,2040-96-2,not biofuel
"cis-1,3-Dimethylcyclopentane",CC1CCC(C1)C,2532-58-3,not biofuel
iso-Butylbenzene,CC(C)CC1=CC=CC=C1,538-93-2,biofuel
sec-Butylbenzene,CCC(C)C1=CC=CC=C1,135-98-8,not biofuel
"1,4-Dimethylcyclohexane",CC1CCC(C)CC1,589-90-2,not biofuel
2-Methyl-1-heptene,CCCCCC(C)=C,15870-10-7,not biofuel
"5,5-Dimethyl-2-hexene",CC=CCC(C)(C)C,36382-10-2,not biofuel
"2,2-Dimethyl-3-hexene",CCC=CC(C)(C)C,3123-93-1,not biofuel
"2,3-Dimethyl-3-hexene",CCC=C(C)C(C)C,7145-23-5,not biofuel
"2,4-Dimethyl-3-hexene",CCC(C)=CC(C)C,82085-14-1,not biofuel
"2,5-Dimethyl-3-hexene",CC(C)C=CC(C)C,15910-22-2,not biofuel
"2,4-Dimethyl-2-hexene",CCC(C)C=C(C)C,14255-23-3,not biofuel
"2,5-Dimethyl-2-hexene",CC(C)CC=C(C)C,3404-78-2,not biofuel
"3,4-Dimethyl-2-hexene",CCC(C)C(C)=CC,2213-37-8,not biofuel
"3,5-Dimethyl-2-hexene",CC=C(C)CC(C)C,3404-79-3,not biofuel
"4,4-Dimethyl-2-hexene",CCC(C)(C)C=CC,3404-59-9,not biofuel
